productName,packSize,binLocation,productCode,abcCategory,allocatedStock,barcode1,caseSize,departmentName,doNotStockReason,expiryDate,groupName,markupPercentage,maxOrderQuantity,minPurchaseQuantity,minWarehouseStockLevel,onOrder,palletSize,purchaseInCases,isSeasonal,stockLevel,storageCondition,supplierName,tradePrice,retailPrice,vatRate
 LOREAL AGE PERFECT GOLDEN AGE REACT COOL CREAM - NIGHT,50ML,AGK-42,8703241,,0,3.60E+12,6,SKIN/SOAP,,,FACIAL SKINCARE,,,,,0,,FALSE,FALSE,0,,LOREAL,6.65,10.99,20
 LOREAL AGE PERFECT GOLDEN AGE ROSY RE-FORT CREAM DAY,50ML,AGK-71,8703258,,0,3.60E+12,6,SKIN/SOAP,,,FACIAL SKINCARE,,,,,0,,FALSE,FALSE,0,,LOREAL,6.65,10.99,20
* PASSPORT ID STATION PAPER & RIBBON,1,BFK-01,9745647,,0,9.90E+12,720,PHOTOGRAPHIC,,,PASSPORT PHOTO,,60,,,0,,FALSE,FALSE,16,,DL KILPATRICK,0.54,5.49,20
** PASSPORT SONY UPC-X34PF (30),,BEM-01,6585061,,0,4.58E+12,300,PHOTOGRAPHIC,,,PASSPORT PHOTO,,,,,0,,FALSE,FALSE,26,,DL KILPATRICK,0.47,5.49,20
1 MILLION AFTERSHAVE LOTION 100ML,100ML,BAN3,8716748,,0,3.35E+12,1,PERFUMES,,,MENS A/S SGLS,,,,,0,,FALSE,FALSE,6,,PUIG,28.27,59,20
1 MILLION DEO SPRAY 150ML,150ML,BAO5,9492919,,0,3.35E+12,1,PERFUMES,,,MENS FRAGRANCE ANCILLARY,,,,,0,,FALSE,FALSE,0,,PUIG,15.71,29,20
1 MILLION DEO STICK 75ML,75ML,BAS6,8716730,,0,3.35E+12,1,PERFUMES,,,MENS FRAGRANCE ANCILLARY,,,,,0,,FALSE,FALSE,0,,PUIG,14.14,26.5,20
1 MILLION EDT 100ML,100ML,BAV5,9492869,,0,3.35E+12,1,PERFUMES,,,MENS A/S SGLS,,,,,0,,FALSE,FALSE,11,,PUIG,47.12,89,20
1 MILLION EDT 200ML ,200ML,BAQ3,9547795,,0,3.35E+12,1,PERFUMES,,,MENS A/S SGLS,,,,,0,,FALSE,FALSE,0,,PUIG,63.87,119,20
1 MILLION EDT 50ML,50ML,BAM3,9492877,,0,3.35E+12,1,PERFUMES,,,MENS A/S SGLS,,,,,0,,FALSE,FALSE,31,,PUIG,34.55,66,20
