Branch Name,PIPCode,Branch Order No.,Completed Date,Supplier,Order Qty,Deliver Qty,Req Qty,Short Qty
Ahoghill,9504259,2846,14/10/2025 13:29,Testers Perfume,0,0,1,1
Ahoghill,8838732,2846,14/10/2025 13:29,Testers Perfume,0,0,1,1
Ahoghill,8832099,2849,16/10/2025 09:58,Testers Perfume,1,1,1,0
Ahoghill,9923616,2849,16/10/2025 09:58,Testers Perfume,1,1,1,0
Ahoghill,8793374,2846,14/10/2025 13:29,Testers Perfume,0,0,1,1
Ahoghill,8838732,2849,16/10/2025 09:58,Testers Perfume,0,0,1,1
Ahoghill,9504259,2849,16/10/2025 09:58,Testers Perfume,0,0,1,1
Ahoghill,9923632,2849,16/10/2025 09:58,Testers Perfume,1,1,1,0
Ahoghill,8793374,2849,16/10/2025 09:58,Testers Perfume,0,0,1,1
Ahoghill,9513243,2847,16/10/2025 09:58,Warehouse,0,0,10,10
Ahoghill,9578642,2847,16/10/2025 09:58,Warehouse,1,1,1,0
Ahoghill,3090206,2847,16/10/2025 09:58,Warehouse,2,2,2,0
Ahoghill,3224011,2847,16/10/2025 09:58,Warehouse,6,6,6,0
Ahoghill,3565652,2847,16/10/2025 09:58,Warehouse,3,3,3,0
Ahoghill,9509787,2847,16/10/2025 09:58,Warehouse,0,0,2,2
Ahoghill,3353620,2847,16/10/2025 09:58,Warehouse,0,0,3,3
Ahoghill,9498635,2847,16/10/2025 09:58,Warehouse,9,9,9,0
Ahoghill,378224,2847,16/10/2025 09:58,Warehouse,3,3,3,0
Ahoghill,3090180,2847,16/10/2025 09:58,Warehouse,2,2,2,0
Ahoghill,9605056,2847,16/10/2025 09:58,Warehouse,12,12,12,0
Ahoghill,9520974,2847,16/10/2025 09:58,Warehouse,10,10,10,0
Ahoghill,205658,2847,16/10/2025 09:58,Warehouse,0,0,3,3
Ahoghill,9408600,2847,16/10/2025 09:58,Warehouse,3,3,3,0
Ahoghill,9556754,2847,16/10/2025 09:58,Warehouse,6,6,6,0
Ahoghill,3090198,2847,16/10/2025 09:58,Warehouse,2,2,2,0
Ahoghill,2575041,2847,16/10/2025 09:58,Warehouse,3,3,3,0
Ahoghill,2816742,2847,16/10/2025 09:58,Warehouse,3,3,3,0
Ahoghill,2533511,2847,16/10/2025 09:58,Warehouse,6,6,6,0
Ahoghill,9546755,2847,16/10/2025 09:58,Warehouse,10,10,10,0
Ahoghill,109207,2847,16/10/2025 09:58,Warehouse,3,3,3,0
Ahoghill,2082642,2847,16/10/2025 09:58,Warehouse,1,1,1,0
Ahoghill,3008448,2847,16/10/2025 09:58,Warehouse,12,12,12,0
Ahoghill,2911410,2847,16/10/2025 09:58,Warehouse,6,6,6,0
Ahoghill,2971018,2847,16/10/2025 09:58,Warehouse,0,0,3,3
Ahoghill,178178,2847,16/10/2025 09:58,Warehouse,0,0,4,4
Ahoghill,1020148,2847,16/10/2025 09:58,Warehouse,1,1,1,0
Ahoghill,3659810,2847,16/10/2025 09:58,Warehouse,2,2,2,0
Ahoghill,9528159,2847,16/10/2025 09:58,Warehouse,3,3,3,0
Ahoghill,9402934,2847,16/10/2025 09:58,Warehouse,6,6,6,0
Ahoghill,405803,2847,16/10/2025 09:58,Warehouse,2,2,2,0
Ahoghill,9407990,2847,16/10/2025 09:58,Warehouse,0,0,6,6
Ahoghill,3377348,2847,16/10/2025 09:58,Warehouse,6,6,6,0
Ahoghill,9413626,2847,16/10/2025 09:58,Warehouse,10,10,10,0
Ahoghill,2847697,2847,16/10/2025 09:58,Warehouse,0,0,12,12
Ahoghill,2992048,2847,16/10/2025 09:58,Warehouse,0,0,3,3
Ahoghill,3871431,2847,16/10/2025 09:58,Warehouse,6,6,6,0
Ahoghill,948083,2847,16/10/2025 09:58,Warehouse,0,0,3,3
Ahoghill,2132074,2847,16/10/2025 09:58,Warehouse,0,0,6,6
Ahoghill,2852283,2847,16/10/2025 09:58,Warehouse,0,0,6,6
Ahoghill,3876570,2847,16/10/2025 09:58,Warehouse,2,2,2,0
Ahoghill,3567302,2847,16/10/2025 09:58,Warehouse,0,0,3,3
Ahoghill,253104,2847,16/10/2025 09:58,Warehouse,0,0,6,6
